"benchmark","benchmark id","expected","asterix","sleek","slsat","spen"
"sll0a_sat/spaguetti-20-e08.tptp.smt2","945816","sat","0.009997","0.048992","3.74243","0.085986"
"sll0a_sat/spaguetti-10-e07.tptp.smt2","945897","sat","0.008997","0.05499","0.047991","0.010997"
"sll0a_sat/spaguetti-11-e09.tptp.smt2","945851","unsat","0.009997","0.045992","1.21581","0.013997"
"sll0a_sat/spaguetti-16-e07.tptp.smt2","945868","unsat","0.009997","0.048992","1.9917","0.024996"
"sll0a_sat/spaguetti-18-e05.tptp.smt2","945903","sat","0.010998","0.053991","1.06784","0.050991"
"sll0a_sat/spaguetti-12-e04.tptp.smt2","945864","unsat","0.009998","0.044993","1.16682","0.015997"
"sll0a_sat/spaguetti-20-e06.tptp.smt2","945835","unsat","0.011997","0.050991","212.669","0.064989"
"sll0a_sat/spaguetti-17-e08.tptp.smt2","945860","unsat","0.010997","0.050991","41.4577","0.033993"
"sll0a_sat/spaguetti-11-e07.tptp.smt2","945849","unsat","0.009998","0.044992","0.246961","0.009998"
"sll0a_sat/spaguetti-13-e10.tptp.smt2","945907","sat","0.011997","0.047992","0.005998","0.015997"
"sll0a_sat/spaguetti-12-e07.tptp.smt2","945853","unsat","0.009997","0.045992","0.511921","0.013997"
"sll0a_sat/spaguetti-17-e03.tptp.smt2","945893","unsat","0.010997","0.049991","8.38172","0.035993"
"sll0a_sat/spaguetti-14-e08.tptp.smt2","945876","unsat","0.010997","0.048992","342.863","0.036993"
"sll0a_sat/spaguetti-15-e01.tptp.smt2","945886","sat","0.010997","0.046992","0.6509","0.035993"
"sll0a_sat/spaguetti-19-e04.tptp.smt2","945832","unsat","0.009997","0.049991","4.28435","0.033994"
"sll0a_sat/spaguetti-15-e06.tptp.smt2","945804","sat","0.009997","0.047991","0.146977","0.028995"
"sll0a_sat/spaguetti-12-e03.tptp.smt2","945828","unsat","0.009998","0.044992","0.212966","0.011997"
"sll0a_sat/spaguetti-15-e03.tptp.smt2","945871","sat","0.009998","0.049991","0.354945","0.031994"
"sll0a_sat/spaguetti-17-e05.tptp.smt2","945872","sat","0.010997","0.045992","7.48886","0.063989"
"sll0a_sat/spaguetti-13-e07.tptp.smt2","945815","unsat","0.011997","0.049992","1527.96","0.036993"
"sll0a_sat/spaguetti-17-e06.tptp.smt2","945839","unsat","0.011998","0.049992","17.8923","0.034994"
