"benchmark","benchmark id","expected","asterix","cyclist","sleek","spen"
"sll0a_entl/clones-01-e05.tptp.smt2","946140","unsat","0.008998","0.007998","0.048991","0.010997"
"sll0a_entl/smallfoot-vc38.tptp.smt2","946007","unsat","0.010997","2400.08","0.201968","0.011997"
"sll0a_entl/bolognesa-16-e07.tptp.smt2","946187","unsat","0.011997","2400.04","0.047991","0.031994"
"sll0a_entl/clones-06-e04.tptp.smt2","946154","unsat","0.008998","0.004998","0.043992","0.010998"
"sll0a_entl/bolognesa-19-e06.tptp.smt2","946018","unsat","0.011997","2400.06","0.050991","0.054991"
"sll0a_entl/bolognesa-13-e05.tptp.smt2","946034","sat","0.013997","2400.08","0.046992","0.024995"
"sll0a_entl/clones-04-e03.tptp.smt2","946142","unsat","0.008998","0.004999","0.045992","0.009998"
"sll0a_entl/bolognesa-19-e07.tptp.smt2","945985","sat","0.013997","2400.01","0.049991","0.080987"
"sll0a_entl/bolognesa-12-e03.tptp.smt2","946014","sat","0.011997","2400.06","0.046992","0.028994"
"sll0a_entl/bolognesa-16-e09.tptp.smt2","945988","unsat","0.012997","2400.09","0.048991","0.027994"
"sll0a_entl/smallfoot-vc24.tptp.smt2","946083","unsat","0.008997","0.006998","0.047991","0.010997"
"sll0a_entl/bolognesa-15-e08.tptp.smt2","946086","sat","0.012997","2400.09","0.045992","0.032994"
"sll0a_entl/clones-03-e03.tptp.smt2","945968","unsat","0.009997","0.004998","0.043992","0.010997"
"sll0a_entl/bolognesa-15-e05.tptp.smt2","945967","unsat","0.011998","2400.03","0.046992","0.041993"
"sll0a_entl/smallfoot-vc39.tptp.smt2","946072","sat","0.009997","0.440932","0.047992","0.011998"
"sll0a_entl/clones-03-e02.tptp.smt2","945972","unsat","0.008998","0.004998","0.043992","0.010998"
"sll0a_entl/clones-06-e09.tptp.smt2","945981","sat","0.011997","2400.03","0.050991","0.035994"
"sll0a_entl/clones-07-e02.tptp.smt2","946161","unsat","0.008998","0.005998","0.048992","0.014997"
"sll0a_entl/clones-07-e03.tptp.smt2","946160","unsat","0.008998","0.004998","0.044993","0.014997"
"sll0a_entl/clones-06-e03.tptp.smt2","946006","unsat","0.009997","0.004998","0.048991","0.012997"
"sll0a_entl/clones-05-e02.tptp.smt2","946151","unsat","0.009998","0.004998","0.046991","0.010998"
